system:index,area_km2,length_km,site_no,site_no_spec,sum,.geo
00000000000000000034,0.055411140701477325,0.5985423529411764,mozambique_manica_TSTM,mozambique_manica_TSTM_11,6.650470588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,0.354607756372437,2.115628235294117,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM_1,23.50698039215686,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,0.5719896082193294,3.690303529411764,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM_2,41.0033725490196,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,1.1232494256924062,4.996274117647055,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM_3,55.51415686274506,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,0.25190460301899076,2.4442623529411764,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM_4,27.158470588235293,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,0.11662105065486361,1.2827823529411764,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM_5,14.25313725490196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,0.06282918265983899,0.8572870588235295,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM_6,9.525411764705883,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,0.010940527212266812,0.2838988235294118,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM_7,3.15443137254902,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,0.12660039207719326,1.8360494117647062,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM_8,20.400549019607844,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,1.685011160536357,7.896832941176466,french_guiana_deux_branches_agm_region_TSTM,french_guiana_deux_branches_agm_region_TSTM_9,87.74258823529406,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,1.2550941565031892,10.363002352941162,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region_1,115.14447058823514,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,0.10399023271118468,1.796470588235294,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region_2,19.96078431372549,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,0.05870555993847529,1.061918823529412,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region_3,11.799098039215687,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,0.13043411296345508,0.998904705882353,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region_4,11.09894117647059,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,0.5830034258149901,5.071821176470587,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region_5,56.35356862745097,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,0.9100644957138548,3.962601176470588,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region_6,44.02890196078431,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,0.42678874280870416,5.510287058823526,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region_7,61.22541176470585,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,0.20862602496631347,2.5374141176470584,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region_8,28.193490196078425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,0.03904224210907718,0.6736270588235294,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region_9,7.484745098039216,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,0.02099458361262165,0.6091164705882353,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region_10,6.7679607843137255,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,0.008971650698598807,0.0656894117647059,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region_11,0.7298823529411765,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,0.003072303923063214,0.018705882352941176,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region_12,0.20784313725490197,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,0.0013246068680472772,0.06070588235294118,cameroon_kadei_river_batouri_agm_region,cameroon_kadei_river_batouri_agm_region_13,0.6745098039215687,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,0.6608181060146194,8.503295294117637,russia_tumnin_tributary_agm_region_TSTM,russia_tumnin_tributary_agm_region_TSTM_1,94.4810588235293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,2.684456542019955,27.573896470588238,russia_edakuy_agm_region_TSTM,russia_edakuy_agm_region_TSTM_1,306.37662745098044,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,1.1548150604698206,8.347648235294109,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM_1,92.75164705882344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,0.11242985344503782,1.0300270588235294,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM_2,11.444745098039215,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,0.02979138756268013,0.37091294117647056,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM_3,4.121254901960784,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,0.2850256007277255,4.417524705882352,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM_4,49.08360784313724,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,0.10062310344079368,1.9469117647058825,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM_5,21.63235294117647,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,0.07951099824632772,1.7709282352941178,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM_6,19.676980392156864,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,0.003949760539962797,0.40607647058823526,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM_7,4.511960784313725,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,0.006329565520029078,0.3274870588235294,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM_8,3.6387450980392155,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,0.7218248327098628,7.963037647058819,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM_9,88.47819607843132,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,0.02015027620438083,0.5612823529411765,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM_10,6.236470588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,0.11470327749841659,1.7928635294117643,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM_11,19.920705882352937,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,0.06050946999383537,0.7278105882352941,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region_1,8.08678431372549,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,0.008707320462613983,0.09554823529411764,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region_2,1.0616470588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,9.365464309673486E-4,0.0,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region_3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,0.002672097377912299,0.1823329411764706,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region_4,2.025921568627451,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,0.03172532470482653,0.23489999999999997,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region_5,2.61,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,0.006240150661604126,0.0,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region_6,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,0.025537432718908345,0.8962835294117647,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region_7,9.958705882352941,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,0.022903357546956438,1.2645423529411766,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region_8,14.050470588235296,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,0.06218286772812356,0.5103811764705882,mali_faleme_upper,mali_faleme_upper_1,5.670901960784313,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,0.18833324719842334,1.6863705882352942,mali_faleme_upper,mali_faleme_upper_2,18.737450980392158,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,0.3291387606471391,3.052274117647059,mali_faleme_upper,mali_faleme_upper_3,33.9141568627451,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,0.04505457581327633,0.06967058823529412,mali_faleme_upper,mali_faleme_upper_4,0.7741176470588236,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,0.011963127456825273,0.2506729411764706,mali_faleme_upper,mali_faleme_upper_5,2.7852549019607844,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,0.12160133468401232,1.6796647058823528,mali_faleme_upper,mali_faleme_upper_6,18.662941176470586,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,0.07954369646910785,1.3885376470588235,mali_faleme_upper,mali_faleme_upper_7,15.428196078431371,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,0.04358823476498085,0.41297294117647054,mali_faleme_upper,mali_faleme_upper_8,4.588588235294117,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,0.8872653110675013,8.287863529411759,mali_faleme_upper,mali_faleme_upper_9,92.08737254901955,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,0.1855769071572221,1.9955258823529414,mali_faleme_upper,mali_faleme_upper_10,22.17250980392157,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,0.040306238094114544,0.3810635294117647,mali_faleme_upper,mali_faleme_upper_11,4.234039215686274,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,0.06832127292154963,0.9162282352941177,mali_faleme_upper,mali_faleme_upper_12,10.180313725490196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,0.34464199296429066,1.2175164705882353,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region_1,13.527960784313725,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,0.355261409989819,2.5894411764705882,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region_2,28.771568627450982,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,0.0075782367374983145,0.0,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region_3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,0.015181729637078839,0.4593282352941176,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region_4,5.103647058823529,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,0.01871401610420592,0.3736094117647059,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region_5,4.15121568627451,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,0.13030857725554718,1.448438823529412,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region_6,16.093764705882354,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,0.036026502227937525,0.8746376470588235,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region_7,9.718196078431372,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,0.030806259460719087,1.0445435294117646,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region_8,11.606039215686273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,0.11122529334390535,0.7712752941176471,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region_9,8.569725490196078,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,0.03739271188394712,0.33998470588235297,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region_10,3.777607843137255,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,0.115347138318327,2.2919682352941178,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region_11,25.466313725490195,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,0.14889102701386026,1.6427011764705886,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region_12,18.25223529411765,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,0.0415568721040493,0.8047835294117648,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region_13,8.942039215686275,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,0.0885131451496488,1.2602717647058823,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region_14,14.003019607843138,"{""type"":""MultiPoint"",""coordinates"":[]}"
