system:index,area_km2,length_km,site_no,site_no_spec
0_00000000000000000051,0.100623103440794,1.94691176470588,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM
0_00000000000000000052,0.0795109982463277,1.77092823529412,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM
0_00000000000000000053,0.0039497605399628,0.406076470588235,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM
0_00000000000000000054,0.00632956552002908,0.327487058823529,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM
0_00000000000000000055,0.721824832709863,7.96303764705882,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM
0_00000000000000000056,0.0201502762043808,0.561282352941177,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM
0_00000000000000000057,0.114703277498417,1.79286352941176,myanmar_kawbyin_agm_region_TSTM,myanmar_kawbyin_agm_region_TSTM
0_00000000000000000058,0.0605094699938354,0.727810588235294,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region
0_00000000000000000059,0.00870732046261398,0.0955482352941176,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region
0_0000000000000000005a,0.000936546430967349,0,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region
0_0000000000000000005b,0.0026720973779123,0.182332941176471,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region
0_0000000000000000005c,0.0317253247048265,0.2349,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region
0_0000000000000000005d,0.00624015066160413,0,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region
0_0000000000000000005e,0.0255374327189083,0.896283529411765,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region
0_0000000000000000005f,0.0229033575469564,1.26454235294118,drc_lindi_river_upper_agm_region,drc_lindi_river_upper_agm_region
0_00000000000000000060,0.0621828677281236,0.510381176470588,mali_faleme_upper,mali_faleme_upper
0_00000000000000000061,0.188333247198423,1.68637058823529,mali_faleme_upper,mali_faleme_upper
0_00000000000000000062,0.329138760647139,3.05227411764706,mali_faleme_upper,mali_faleme_upper
0_00000000000000000063,0.0450545758132763,0.0696705882352941,mali_faleme_upper,mali_faleme_upper
0_00000000000000000064,0.0119631274568253,0.250672941176471,mali_faleme_upper,mali_faleme_upper
0_00000000000000000065,0.121601334684012,1.67966470588235,mali_faleme_upper,mali_faleme_upper
0_00000000000000000066,0.0795436964691078,1.38853764705882,mali_faleme_upper,mali_faleme_upper
0_00000000000000000067,0.0435882347649809,0.412972941176471,mali_faleme_upper,mali_faleme_upper
0_00000000000000000068,0.887265311067501,8.28786352941176,mali_faleme_upper,mali_faleme_upper
0_00000000000000000069,0.185576907157222,1.99552588235294,mali_faleme_upper,mali_faleme_upper
0_0000000000000000006a,0.0403062380941145,0.381063529411765,mali_faleme_upper,mali_faleme_upper
