system:index,area_km2,length_km,site_no,sum,.geo
46,0.031725325,0.2349,drc_lindi_river_upper_agm_region_5,2.61,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.006240151,0,drc_lindi_river_upper_agm_region_6,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.025537433,0.896283529,drc_lindi_river_upper_agm_region_7,9.958705882,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.022903358,1.264542353,drc_lindi_river_upper_agm_region_8,14.05047059,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,0.062182868,0.510381176,mali_faleme_upper_1,5.670901961,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,0.188333247,1.686370588,mali_faleme_upper_2,18.73745098,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,0.329138761,3.052274118,mali_faleme_upper_3,33.91415686,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,0.045054576,0.069670588,mali_faleme_upper_4,0.774117647,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,0.011963127,0.250672941,mali_faleme_upper_5,2.785254902,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,0.121601335,1.679664706,mali_faleme_upper_6,18.66294118,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.079543696,1.388537647,mali_faleme_upper_7,15.42819608,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.043588235,0.412972941,mali_faleme_upper_8,4.588588235,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.887265311,8.287863529,mali_faleme_upper_9,92.08737255,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.185576907,1.995525882,mali_faleme_upper_10,22.1725098,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.040306238,0.381063529,mali_faleme_upper_11,4.234039216,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.068321273,0.916228235,mali_faleme_upper_12,10.18031373,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.344641993,1.217516471,myanmar_chindwin_river_ningbyen_agm_region_1,13.52796078,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.35526141,2.589441176,myanmar_chindwin_river_ningbyen_agm_region_2,28.77156863,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.007578237,0,myanmar_chindwin_river_ningbyen_agm_region_3,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.01518173,0.459328235,myanmar_chindwin_river_ningbyen_agm_region_4,5.103647059,"{""type"":""MultiPoint"",""coordinates"":[]}"
